FMEA_ID,Asset_ID,Department,Failure_Mode,Potential_Effects,Prevention_Controls,Severity,Occurrence,Detection,RPN,All_Repair_Steps,Graph_Context_Snippet
FMEA-CDG-001,AST-INKJET-01,PACKAGING,Batch code illegible or missing,Loss of traceability and non-compliance,Print quality check every 30 minutes and printhead cleaning,8,4,2,64,Langkah 1: Stop the line and mark all uncoded product for rework. | Langkah 2: Clean the printhead and check ink and solvent levels. | Langkah 3: Verify the print content against the batch record. | Langkah 4: Print 10 test samples and confirm legibility before restart.,Mesin/Asset ID: AST-INKJET-01 (FMEA Kode: FMEA-CDG-001). Mode Kegagalan (Failure Mode): Batch code illegible or missing. Dampak Potensial: Loss of traceability and non-compliance. Tindakan Pencegahan (Prevention): Print quality check every 30 minutes and printhead cleaning. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the line and mark all uncoded product for rework. | Langkah 2: Clean the printhead and check ink and solvent levels. | Langkah 3: Verify the print content against the batch record. | Langkah 4: Print 10 test samples and confirm legibility before restart.
FMEA-CNV-001,AST-CONVEYOR-01,PACKAGING,Conveyor chain snapped,Line stoppage and product backlog,Chain tension and lubrication check weekly,6,4,3,72,"Langkah 1: Stop the conveyor and apply lockout-tagout. | Langkah 2: Remove product from the affected section. | Langkah 3: Replace the broken chain link or the whole chain. | Langkah 4: Adjust tension, lubricate, and run empty before restart.","Mesin/Asset ID: AST-CONVEYOR-01 (FMEA Kode: FMEA-CNV-001). Mode Kegagalan (Failure Mode): Conveyor chain snapped. Dampak Potensial: Line stoppage and product backlog. Tindakan Pencegahan (Prevention): Chain tension and lubrication check weekly. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the conveyor and apply lockout-tagout. | Langkah 2: Remove product from the affected section. | Langkah 3: Replace the broken chain link or the whole chain. | Langkah 4: Adjust tension, lubricate, and run empty before restart."
FMEA-CHK-001,AST-CHECKWEIGH-01,QUALITY,Checkweigher calibration drift,Underweight product passes or good product is rejected,Daily calibration with test weights,7,4,3,84,Langkah 1: Stop the checkweigher and tag it out of service. | Langkah 2: Calibrate using certified test weights. | Langkah 3: Re-inspect product passed since the last good check. | Langkah 4: Restart and verify with 3 known test packs.,Mesin/Asset ID: AST-CHECKWEIGH-01 (FMEA Kode: FMEA-CHK-001). Mode Kegagalan (Failure Mode): Checkweigher calibration drift. Dampak Potensial: Underweight product passes or good product is rejected. Tindakan Pencegahan (Prevention): Daily calibration with test weights. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the checkweigher and tag it out of service. | Langkah 2: Calibrate using certified test weights. | Langkah 3: Re-inspect product passed since the last good check. | Langkah 4: Restart and verify with 3 known test packs.
FMEA-MIX-002,AST-MIXER-01,PRODUCTION,Incomplete ingredient dispersion,Batch out of specification (viscosity or concentration),Timed mixing recipe with in-process sample test,7,4,3,84,Langkah 1: Halt the transfer of the batch to filling. | Langkah 2: Extend mixing time per the SOP and re-sample. | Langkah 3: Check agitator speed and blade condition. | Langkah 4: Release the batch only after lab results meet specification.,Mesin/Asset ID: AST-MIXER-01 (FMEA Kode: FMEA-MIX-002). Mode Kegagalan (Failure Mode): Incomplete ingredient dispersion. Dampak Potensial: Batch out of specification (viscosity or concentration). Tindakan Pencegahan (Prevention): Timed mixing recipe with in-process sample test. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Halt the transfer of the batch to filling. | Langkah 2: Extend mixing time per the SOP and re-sample. | Langkah 3: Check agitator speed and blade condition. | Langkah 4: Release the batch only after lab results meet specification.
FMEA-ROW-001,AST-RO-01,UTILITIES,RO membrane fouling,Poor water quality and higher conductivity,Pre-filter change and daily conductivity logging,8,4,3,96,Langkah 1: Switch to backup water supply if available. | Langkah 2: Perform a chemical cleaning of the membranes. | Langkah 3: Replace the pre-filters and cartridges. | Langkah 4: Verify permeate conductivity before resuming use.,Mesin/Asset ID: AST-RO-01 (FMEA Kode: FMEA-ROW-001). Mode Kegagalan (Failure Mode): RO membrane fouling. Dampak Potensial: Poor water quality and higher conductivity. Tindakan Pencegahan (Prevention): Pre-filter change and daily conductivity logging. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Switch to backup water supply if available. | Langkah 2: Perform a chemical cleaning of the membranes. | Langkah 3: Replace the pre-filters and cartridges. | Langkah 4: Verify permeate conductivity before resuming use.
FMEA-FIL-001,AST-FILLER-01,PACKAGING,Bottle seal leakage,Product contamination and reduced fill volume,Check heater pressure and temperature sensor every shift,8,4,3,96,Langkah 1: Stop the line and switch the machine to MANUAL mode. | Langkah 2: Inspect the heating element temperature on the sealing unit. | Langkah 3: Clean plastic residue from the heater seat. | Langkah 4: Test-seal 5 sample bottles before returning to AUTO mode.,Mesin/Asset ID: AST-FILLER-01 (FMEA Kode: FMEA-FIL-001). Mode Kegagalan (Failure Mode): Bottle seal leakage. Dampak Potensial: Product contamination and reduced fill volume. Tindakan Pencegahan (Prevention): Check heater pressure and temperature sensor every shift. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the line and switch the machine to MANUAL mode. | Langkah 2: Inspect the heating element temperature on the sealing unit. | Langkah 3: Clean plastic residue from the heater seat. | Langkah 4: Test-seal 5 sample bottles before returning to AUTO mode.
FMEA-VIS-001,AST-VISION-01,QUALITY,Vision inspection camera misreads,Defective packs not rejected,Lens cleaning and lighting check each shift,7,4,4,112,Langkah 1: Stop the inspection system and switch to manual inspection. | Langkah 2: Clean the camera lens and check the lighting. | Langkah 3: Reload the reference image and recalibrate. | Langkah 4: Validate with known good and defective samples.,Mesin/Asset ID: AST-VISION-01 (FMEA Kode: FMEA-VIS-001). Mode Kegagalan (Failure Mode): Vision inspection camera misreads. Dampak Potensial: Defective packs not rejected. Tindakan Pencegahan (Prevention): Lens cleaning and lighting check each shift. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the inspection system and switch to manual inspection. | Langkah 2: Clean the camera lens and check the lighting. | Langkah 3: Reload the reference image and recalibrate. | Langkah 4: Validate with known good and defective samples.
FMEA-FIL-003,AST-FILLER-01,PACKAGING,Fill level sensor drift,Overfill (giveaway) or underfill (regulatory non-compliance),Weekly sensor calibration against reference weight,7,4,4,112,Langkah 1: Pause filling and tag the affected sensor. | Langkah 2: Calibrate the sensor using a certified reference weight. | Langkah 3: Quarantine product filled since the last good calibration. | Langkah 4: Record calibration results and restart production.,Mesin/Asset ID: AST-FILLER-01 (FMEA Kode: FMEA-FIL-003). Mode Kegagalan (Failure Mode): Fill level sensor drift. Dampak Potensial: Overfill (giveaway) or underfill (regulatory non-compliance). Tindakan Pencegahan (Prevention): Weekly sensor calibration against reference weight. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Pause filling and tag the affected sensor. | Langkah 2: Calibrate the sensor using a certified reference weight. | Langkah 3: Quarantine product filled since the last good calibration. | Langkah 4: Record calibration results and restart production.
FMEA-MIX-003,AST-DOSING-01,PRODUCTION,Dosing pump inaccurate,Formulation error affecting taste or performance,Monthly pump calibration and flow meter verification,8,4,4,128,Langkah 1: Stop dosing and hold the current batch. | Langkah 2: Calibrate the dosing pump using a graduated container. | Langkah 3: Inspect check valves and tubing for wear or air ingress. | Langkah 4: Retest the dosing accuracy on 3 consecutive cycles.,Mesin/Asset ID: AST-DOSING-01 (FMEA Kode: FMEA-MIX-003). Mode Kegagalan (Failure Mode): Dosing pump inaccurate. Dampak Potensial: Formulation error affecting taste or performance. Tindakan Pencegahan (Prevention): Monthly pump calibration and flow meter verification. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop dosing and hold the current batch. | Langkah 2: Calibrate the dosing pump using a graduated container. | Langkah 3: Inspect check valves and tubing for wear or air ingress. | Langkah 4: Retest the dosing accuracy on 3 consecutive cycles.
FMEA-HOM-001,AST-HOMOG-01,PRODUCTION,Homogenizer valve wear,Inconsistent particle size and product separation,Valve inspection every 500 operating hours,7,4,5,140,Langkah 1: Stop the homogenizer and release system pressure safely. | Langkah 2: Remove and inspect the valve seat and plunger. | Langkah 3: Replace worn valve components. | Langkah 4: Run a test batch and check particle size or stability.,Mesin/Asset ID: AST-HOMOG-01 (FMEA Kode: FMEA-HOM-001). Mode Kegagalan (Failure Mode): Homogenizer valve wear. Dampak Potensial: Inconsistent particle size and product separation. Tindakan Pencegahan (Prevention): Valve inspection every 500 operating hours. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the homogenizer and release system pressure safely. | Langkah 2: Remove and inspect the valve seat and plunger. | Langkah 3: Replace worn valve components. | Langkah 4: Run a test batch and check particle size or stability.
FMEA-LBL-001,AST-LABELER-01,PACKAGING,Label skewed or wrinkled,Poor shelf appearance and customer complaints,Adhesive temperature control and roller alignment check,4,5,2,40,Langkah 1: Stop the labeler and remove defective labels. | Langkah 2: Check the glue temperature and roller alignment. | Langkah 3: Replace worn label rollers or wipers if damaged. | Langkah 4: Inspect 10 labeled units for position and adhesion.,Mesin/Asset ID: AST-LABELER-01 (FMEA Kode: FMEA-LBL-001). Mode Kegagalan (Failure Mode): Label skewed or wrinkled. Dampak Potensial: Poor shelf appearance and customer complaints. Tindakan Pencegahan (Prevention): Adhesive temperature control and roller alignment check. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the labeler and remove defective labels. | Langkah 2: Check the glue temperature and roller alignment. | Langkah 3: Replace worn label rollers or wipers if damaged. | Langkah 4: Inspect 10 labeled units for position and adhesion.
